ano;decada;maxima;minima;media;linhas
1961;1960;0;0;0;365
1962;1960;0;0;0;365
1963;1960;0;0;0;365
1964;1960;0;0;0;366
1965;1960;0;0;0;365
1966;1960;0;0;0;365
1967;1960;30;30;30;365
1968;1960;0;0;0;366
1969;1960;0;0;0;365
1970;1970;0;0;0;365
1971;1970;0;0;0;365
1972;1970;0;0;0;366
1973;1970;0;0;0;365
1974;1970;3;0;1;365
1975;1970;0;0;0;365
1976;1970;0;0;0;366
1977;1970;0;0;0;365
1978;1970;0;0;0;365
1979;1970;77;78;78;365
1980;1980;116;116;116;366
1981;1980;83;83;83;365
1982;1980;65;65;65;365
1983;1980;0;0;0;365
1984;1980;0;0;0;366
1985;1980;365;365;365;365
1986;1980;365;365;365;365
1987;1980;365;365;365;365
1988;1980;2;0;0;366
1989;1980;0;0;0;365
1990;1990;1;1;1;365
1991;1990;0;0;1;365
1992;1990;0;0;1;366
1993;1990;0;2;2;365
1994;1990;2;0;4;365
1995;1990;0;0;1;365
1996;1990;0;0;1;366
1997;1990;0;0;0;365
1998;1990;0;0;0;365
1999;1990;0;0;0;365
2000;2000;0;0;0;366
2001;2000;266;267;282;365
2002;2000;1;3;1;365
2003;2000;5;5;0;365
2004;2000;0;0;0;366
2005;2000;0;0;0;365
2006;2000;0;0;0;365
2007;2000;0;0;0;365
2008;2000;0;0;0;366
2009;2000;0;0;0;365
2010;2010;0;0;0;365
2011;2010;0;0;0;365
2012;2010;0;0;0;366
2013;2010;0;0;0;365
2014;2010;0;0;0;365
2015;2010;0;0;0;365
2016;2010;0;0;0;366
2017;2010;0;0;0;365
2018;2010;0;0;0;365
2019;2010;0;0;0;365
